;Vehiculos;Diesel;g93;g95;g97;emisiones;IPC;coef;Diesel_def;g93_def;g95_def;g97_def
2001;2123441;256,0494259;401,5918679;405,2550827;408,7747395;12876,85482;69,4135008;1;256,0494259;401,5918679;405,2550827;408,7747395
2002;2164540;255,4822809;410,2376299;413,6323184;417,0940707;13030,01394;71,37396;1,028243197;248,4648394;398,9694568;402,2709019;405,6375688
2003;2195878;300,7049752;458,9214686;462,2772562;465,708934;13249,1772;72,14;1,039273858;289,3414212;441,5789591;444,8079325;448,1099282
2004;2298620;334,3940066;497,3157413;502,0861124;507,0071955;14457,59244;73,89144;1,06451107;314,1291961;467,1776137;471,6588926;476,2817502
2005;2444571;401,8519741;545,0837803;550,7625409;556,5466635;14618,91468;76,5985248;1,103510469;364,1578267;493,9543355;499,1004223;504,3419879
2006;2599425;450,3012187;593,5671816;604,4506567;615,0713316;14870,53434;78,5653344;1,131845153;397,847018;524,4243705;534,0400631;543,4235683
2007;2762593;452,9870122;585,7410319;603,7351809;620,7397418;17217,98088;84,7116144;1,22039104;371,1818569;479,9617605;494,706337;508,6400356
2008;2955303;607,550925;623,5467238;643,1537797;663,1077919;17610,97164;90,72;1,306950362;464,8615148;477,1005403;492,102683;507,3702959
2009;3068220;431,5424118;515,6900899;533,7017179;555,1673984;16993,8279;90,28;1,300611538;331,7996184;396,4981665;410,3467504;426,8510485
2010;3299446;493,9737436;638,5305535;652,9971861;674,6121167;16963,76316;92,97;1,339364806;368,8119484;476,7413261;487,5424406;503,6806357
2011;3571219;596,0448711;739,0919024;755,0809849;775,9484745;19150,87818;97,09;1,398719253;426,136174;528,4061835;539,8374143;554,7564121
2012;3885581;622,7431624;785,1020794;804,2019082;827,0433186;20326,37262;98,53;1,419464497;438,7169695;553,0973695;566,5530275;582,6445962
2013;4168980;625,1971133;793,233978;813,2280689;838,7935034;19889,36448;101,51;1,462395627;427,515716;542,4209178;556,0930668;573,5749534
2014;4468450;677,120661;859,1962747;880,7095445;907,7527404;19059,19788;106,22;1,530249862;442,4902612;561,4744992;575,5331639;593,2055693
2015;4647062;520,9431991;719,300992;758,4689826;799,6336445;20484,05964;110,87;1,597239712;326,1521707;450,3400377;474,8623373;500,634713
2016;4853413;440,1352524;680,7736415;718,5897648;760,7171874;21440,187;113,88;1,640603034;268,2765077;414,9532991;438,0034353;463,6814462
2017;5079718;495,3806738;722,9180343;754,0628387;792,5203022;21555,21372;116,46;1,677771596;295,2610922;430,8798863;449,4430831;472,3648346
2018;5382604;589,3868945;792,0509912;821,0736034;855,807733;21724,35594;119,45;1,72084679;342,4981806;460,2681633;477,133472;497,3177962
2019;5599733;602,8977466;790,0944664;822,8653633;860,1229191;21894,05802;103,66;1,493369428;403,7164115;529,0683279;551,0125946;575,9612477
2020;5479286;557,5782504;776,4929475;808,7007551;845,5349462;20568,87714;106,74;1,5377412;362,5956374;504,9568468;525,9017286;549,8551683
